measurements,errors,
0.760141404,0.00235601,
0.048976774,0.00235601,
0.022310951,0.00235601,
0.168570871,0.00235601,
0.402501074,0.00235601,
0.23335301,0.00235601,
0.208990155,0.00235601,
0.105724981,0.00235601,
0.035014137,0.00235601,
0.012815172,0.00235601,
0.001601472,0.00235601,
0.615644929,0.00235601,
0.152894394,0.00235601,
0.112731217,0.00235601,
0.094106725,0.00235601,
0.024622735,0.00235601,
0.777404839,0.00235601,
0.051701078,0.00235601,
0.170894084,0.00235601,
0.511890552,0.00235601,
0.178403733,0.00235601,
0.104482922,0.00235601,
0.109611055,0.00235601,
0.032308152,0.00235601,
0.051840161,0.00235601,
0.011463426,0.00235601,
0.473389794,0.00235601,
0.145654648,0.00235601,
0.206788553,0.00235601,
0.106100949,0.00235601,
0.04534898,0.00235601,
0.017879044,0.00235601,
0.004838034,0.00235601,
0.472243328,0.00235601,
0.145998957,0.00235601,
0.207403004,0.00235601,
0.106216241,0.00235601,
0.04531417,0.00235601,
0.018046636,0.00235601,
0.004777663,0.00235601,
0.435381399,0.00235601,
0.187044579,0.00235601,
0.161468045,0.00235601,
0.135606422,0.00235601,
0.049386106,0.00235601,
0.022900479,0.00235601,
0.00821297,0.00235601,
0.460283355,0.00235601,
0.237925029,0.00235601,
0.144330404,0.00235601,
0.104832995,0.00235601,
0.043171846,0.00235601,
0.00945637,0.00235601,
0.424293638,0.00235601,
0.103756111,0.00235601,
0.119270916,0.00235601,
0.165338187,0.00235601,
0.090456321,0.00235601,
0.042074083,0.00235601,
0.031610894,0.00235601,
0.016716413,0.00235601,
0.003271912,0.00235601,
0.003211526,0.00235601,
0.511894718,0.00235601,
0.154712337,0.00235601,
0.217098084,0.00235601,
0.079575789,0.00235601,
0.026049666,0.00235601,
0.010669406,0.00235601,
0.727360967,0.00235601,
0.086745134,0.00235601,
0.057635606,0.00235601,
0.128258293,0.00235601,
0.597706392,0.00235601,
0.164161754,0.00235601,
0.119419108,0.00235601,
0.092436787,0.00235601,
0.026275959,0.00235601,
0.420964816,0.00235601,
0.103457418,0.00235601,
0.123092876,0.00235601,
0.164811455,0.00235601,
0.089846446,0.00235601,
0.043288809,0.00235601,
0.031705691,0.00235601,
0.016045568,0.00235601,
0.003434536,0.00235601,
0.003352385,0.00235601,
0.602225728,0.00235601,
0.059106665,0.00235601,
0.155620576,0.00235601,
0.14226385,0.00235601,
0.00994367,0.00235601,
0.030839512,0.00235601,